traj#,linkId,laneId,gtuId,t,x,v,a,timeToCollision,gap,dv
1,AB,Lane 1,3,0.0,70.0,27.777779,0.2873117,NaN,25.81,0.0
1,AB,Lane 1,3,0.05,71.38925,27.792143,0.2873117,1796.6299,25.80964,0.0143655855
1,AB,Lane 1,3,0.1,72.77921,27.806509,0.2873117,898.27747,25.808563,0.028731171
1,AB,Lane 1,3,0.15,74.1699,27.820875,0.2873117,598.80994,25.806768,0.04309676
1,AB,Lane 1,3,0.2,75.5613,27.83524,0.2873117,449.06372,25.804255,0.057462342
1,AB,Lane 1,3,0.25,76.95342,27.849606,0.2873117,359.206,25.801022,0.071827926
1,AB,Lane 1,3,0.3,78.34626,27.863972,0.2873117,299.29248,25.797071,0.08619352
1,AB,Lane 1,3,0.35,79.73982,27.878336,0.2873117,256.49,25.792402,0.1005591
1,AB,Lane 1,3,0.4,81.134094,27.892702,0.2873117,224.38187,25.787016,0.114924684
1,AB,Lane 1,3,0.45,82.52909,27.907068,0.2873117,199.40332,25.78091,0.12929027
1,AB,Lane 1,3,0.5,83.924805,27.921434,0.2873117,179.4155,25.774086,0.14365585
1,AB,Lane 1,3,0.55,85.32056,27.908611,-0.2564331,196.94562,25.767223,0.1308342
1,AB,Lane 1,3,0.6,86.71567,27.89579,-0.2564331,218.29037,25.761003,0.11801255
1,AB,Lane 1,3,0.65,88.11013,27.882969,-0.2564331,244.8446,25.755423,0.105190895
1,AB,Lane 1,3,0.7,89.50396,27.870148,-0.2564331,278.7777,25.750484,0.092369236
1,AB,Lane 1,3,0.75,90.89715,27.857325,-0.2564331,323.65768,25.746185,0.079547584
1,AB,Lane 1,3,0.8,92.289696,27.844503,-0.2564331,385.79498,25.742529,0.06672593
1,AB,Lane 1,3,0.85,93.681595,27.831682,-0.2564331,477.50412,25.739513,0.053904273
1,AB,Lane 1,3,0.9,95.07286,27.818861,-0.2564331,626.47266,25.737139,0.04108262
1,AB,Lane 1,3,0.95,96.463486,27.806038,-0.2564331,910.63434,25.735405,0.028260965
1,AB,Lane 1,3,1.0,97.85346,27.793217,-0.2416615,1666.8046,25.734312,0.01543931
1,AB,Lane 1,3,1.05,99.24282,27.781134,-0.2416615,7667.474,25.733843,0.0033562346
1,AB,Lane 1,3,1.1,100.63158,27.76905,-0.2416615,NaN,25.733976,-0.008726841
1,AB,Lane 1,3,1.15,102.01973,27.756968,-0.2416615,NaN,25.734715,-0.020809917
1,AB,Lane 1,3,1.2,103.40727,27.744884,-0.2416615,NaN,25.736057,-0.03289299
1,AB,Lane 1,3,1.25,104.79422,27.732801,-0.2416615,NaN,25.738005,-0.044976067
1,AB,Lane 1,3,1.3,106.18056,27.720718,-0.2416615,NaN,25.740555,-0.057059143
1,AB,Lane 1,3,1.35,107.56629,27.708635,-0.2416615,NaN,25.74371,-0.069142215
1,AB,Lane 1,3,1.4,108.951416,27.696552,-0.2416615,NaN,25.747469,-0.08122529
1,AB,Lane 1,3,1.45,110.335945,27.68447,-0.2416615,NaN,25.751833,-0.09330837
1,AB,Lane 1,3,1.5,111.719864,27.672386,-0.11951245,NaN,25.7568,-0.10539144
1,AB,Lane 1,3,1.55,113.10333,27.66641,-0.11951245,NaN,25.762218,-0.11136707
1,AB,Lane 1,3,1.6,114.48651,27.660435,-0.11951245,NaN,25.767937,-0.11734269
1,AB,Lane 1,3,1.65,115.86938,27.654459,-0.11951245,NaN,25.773954,-0.123318315
1,AB,Lane 1,3,1.7,117.25195,27.648483,-0.11951245,NaN,25.78027,-0.12929393
1,AB,Lane 1,3,1.75,118.63423,27.642508,-0.11951245,NaN,25.786882,-0.13526955
1,AB,Lane 1,3,1.8,120.016205,27.636532,-0.11951245,NaN,25.793797,-0.14124519
1,AB,Lane 1,3,1.85,121.39788,27.630556,-0.11951245,NaN,25.801008,-0.1472208
1,AB,Lane 1,3,1.9,122.77926,27.624582,-0.11951245,NaN,25.808517,-0.15319642
1,AB,Lane 1,3,1.95,124.16034,27.618607,-0.11951245,NaN,25.816326,-0.15917204
1,AB,Lane 1,3,2.0,125.54112,27.61263,-0.035583466,NaN,25.824434,-0.16514768
1,AB,Lane 1,3,2.05,126.92171,27.610851,-0.035583466,NaN,25.832737,-0.16692685
1,AB,Lane 1,3,2.1,128.3022,27.609072,-0.035583466,NaN,25.841127,-0.16870601
1,AB,Lane 1,3,2.15,129.68262,27.607292,-0.035583466,NaN,25.849607,-0.17048518
1,AB,Lane 1,3,2.2,131.06293,27.605513,-0.035583466,NaN,25.858177,-0.17226437
1,AB,Lane 1,3,2.25,132.44316,27.603735,-0.035583466,NaN,25.866835,-0.17404354
